index,env_id,curr_pos,curr_capacity,possible_actions,action,reward,bl_action,bl_reward,done
36509,73,0,1.0,[1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0.],9,10.29833984375,9,10.29833984375,False
36510,73,9,0.52,[1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0.],6,5.536898612976074,6,5.536898612976074,False
36511,73,6,0.34,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],8,7.330617904663086,8,7.330617904663086,True
36512,73,9,0.51,[1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],3,27.339262008666992,0,0.0,False
36513,73,3,0.1,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0,0.0,9,21.629913330078125,True
37000,74,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],6,7.3939738273620605,6,7.3939738273620605,False
37001,74,6,0.65,[1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1.],4,9.691536903381348,8,9.413215637207031,False
37002,74,4,0.42,[1. 1. 1. 1. 0. 1. 0. 1. 1. 1. 1.],1,6.493268489837647,5,1.6979178190231323,False
37003,74,1,0.2,[1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1.],5,9.572845458984377,0,0.0,False
37004,74,5,0.09,[1. 0. 1. 1. 0. 0. 0. 1. 1. 1. 1.],0,0.0,4,15.435242652893066,False
37005,74,0,1.0,[1. 0. 1. 1. 0. 0. 0. 1. 1. 1. 1.],8,18.172971725463867,3,6.271811485290527,False
37006,74,8,0.53,[1. 0. 1. 1. 0. 0. 0. 1. 0. 1. 1.],9,9.390246391296388,9,3.671433210372925,False
37007,74,9,0.32,[1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1.],0,0.0,0,0.0,False
37008,74,0,1.0,[1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1.],3,22.409198760986328,1,18.970613479614254,False
37009,74,3,0.58,[1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1.],2,12.86916732788086,2,4.662649631500244,False
37010,74,2,0.22,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1.],0,0.0,7,14.883075714111328,False
37011,74,0,1.0,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1.],10,28.66737937927246,0,0.0,False
37012,74,10,0.82,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],7,43.59927368164063,10,28.66737937927246,True
37013,74,3,0.56,[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],2,18.989643096923828,3,11.93990421295166,True
37500,75,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],7,6.383645534515381,9,2.064491271972656,False
37501,75,7,0.62,[1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1.],3,9.363064765930176,5,3.2372992038726807,False
37502,75,3,0.2,[1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1.],0,0.0,7,6.403668403625488,False
37503,75,0,1.0,[1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1.],1,11.024962425231934,0,0.0,False
37504,75,1,0.71,[1. 0. 1. 0. 1. 1. 1. 0. 1. 1. 1.],8,6.806045055389404,3,3.643844842910767,False
37505,75,8,0.5,[1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 1.],5,8.13219165802002,1,12.115468978881836,False
37506,75,5,0.3,[1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1.],9,3.6401479244232178,8,6.806045055389404,False
37507,75,9,0.16,[1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1.],0,0.0,0,0.0,False
37508,75,0,1.0,[1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1.],6,11.124691009521484,6,11.124691009521484,False
37509,75,6,0.57,[1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1.],10,17.92691421508789,10,17.92691421508789,False
37510,75,10,0.42,[1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0.],2,22.53137969970703,4,7.139194488525391,False
37511,75,2,0.18,[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],0,0.0,0,0.0,False
37512,75,0,1.0,[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],4,31.930702209472656,2,30.209117889404297,True
37513,75,0,1.0,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],8,20.394519805908203,8,20.394519805908203,True
38000,76,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],10,6.536275386810303,9,3.0150506496429443,False
38001,76,10,0.89,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],3,8.411556243896484,3,3.335961103439331,False
38002,76,3,0.66,[1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0.],9,2.8741047382354736,6,8.061141967773438,False
38003,76,9,0.19,[1. 1. 1. 0. 1. 1. 1. 1. 1. 0. 0.],6,9.14072322845459,10,12.236848831176758,False
38004,76,6,0.04,[1. 1. 1. 0. 1. 1. 0. 1. 1. 0. 0.],0,0.0,0,0.0,False
38005,76,0,1.0,[1. 1. 1. 0. 1. 1. 0. 1. 1. 0. 0.],1,7.736931800842285,1,7.736931800842285,False
38006,76,1,0.71,[1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0.],2,7.761919021606445,7,7.59713888168335,False
38007,76,2,0.44,[1. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0.],4,14.868695259094238,4,8.4972562789917,False
38008,76,4,0.12,[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0.],0,0.0,0,0.0,False
38009,76,0,1.0,[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0.],5,17.482925415039062,2,12.575972557067873,False
38010,76,5,0.8,[1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],7,35.35615921020508,8,11.725903511047363,False
38011,76,7,0.66,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],8,19.32957649230957,5,40.72030258178711,True
38012,76,0,1.0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],9,23.85252952575684,1,15.28519344329834,True
38013,76,7,0.58,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],5,19.08562469482422,7,12.521703720092772,True
38500,77,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],3,3.453478574752808,3,3.453478574752808,False
38501,77,3,0.57,[1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],7,8.618083953857422,5,1.3285212516784668,False
38502,77,7,0.43,[1. 1. 1. 0. 1. 1. 1. 0. 1. 1. 1.],8,6.296210765838623,9,6.266416549682617,False
38503,77,8,0.2,[1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1.],0,0.0,0,0.0,False
